date,type,avg,_col3
2017-09-28T00:00:00,control,39.23544138850625,14.338846512305356
2017-09-22T00:00:00,as-enabled,45.17287499115697,21.168801394215567
2017-09-25T00:00:00,as-enabled,30.415642252576603,7.691863392060569
2017-09-20T00:00:00,as-enabled,53.35007458877825,27.772450348742584
2017-09-23T00:00:00,control,38.319365378535906,17.16804064579071
2017-09-23T00:00:00,as-enabled,39.45841448272086,12.588849115178128
2017-09-22T00:00:00,control,35.00732060964112,9.324392881846206
2017-09-25T00:00:00,control,42.57478474592408,25.979350883414032
2017-09-27T00:00:00,control,38.383333489140526,6.644018268342581
2017-09-28T00:00:00,as-enabled,38.72440713938462,14.283198097017095
2017-09-24T00:00:00,control,38.47022595746395,13.03494565735098
2017-09-26T00:00:00,as-enabled,38.30858620639023,8.237461904099202
2017-09-21T00:00:00,control,35.99253073860603,10.414788954224434
2017-09-26T00:00:00,control,37.17970530462703,7.645301534789422
2017-09-21T00:00:00,as-enabled,43.794682548359965,15.42815069845189
2017-09-24T00:00:00,as-enabled,41.170637290750165,11.733282581088918
2017-09-27T00:00:00,as-enabled,40.13113620810952,6.827271576797591
2017-09-20T00:00:00,control,40.725678337347006,14.31364176434975
