submission_date,type,count
20171107,personalized_Old Users,1898
20171031,control_Old Users,372
20171103,control_Old Users,5144
20171102,control_Old Users,5178
20171106,personalized_New Users,124
20171111,control_New Users,6
20171104,personalized_New Users,139
20171031,personalized_New Users,19
20171107,control_Old Users,1903
20171103,personalized_Old Users,5235
20171106,control_New Users,135
20171106,control_Old Users,2450
20171112,personalized_New Users,6
20171031,control_New Users,16
20171101,control_New Users,157
20171101,control_Old Users,3949
20171106,personalized_Old Users,2552
20171109,control_New Users,137
20171031,personalized_Old Users,415
20171107,personalized_New Users,139
20171109,personalized_New Users,151
20171102,control_New Users,212
20171111,personalized_Old Users,1
20171111,personalized_New Users,17
20171102,personalized_Old Users,5226
20171109,control_Old Users,1420
20171105,personalized_Old Users,2319
20171108,control_New Users,142
20171108,personalized_New Users,133
20171112,control_New Users,2
20171104,control_New Users,143
20171110,control_New Users,14
20171108,personalized_Old Users,1701
20171108,control_Old Users,1606
20171110,personalized_New Users,27
20171101,personalized_Old Users,4036
20171105,control_Old Users,2361
20171107,control_New Users,114
20171102,personalized_New Users,176
20171105,personalized_New Users,119
20171101,personalized_New Users,115
20171104,personalized_Old Users,3343
20171110,personalized_Old Users,9
20171104,control_Old Users,3274
20171105,control_New Users,108
20171103,personalized_New Users,200
20171109,personalized_Old Users,1511
20171103,control_New Users,206
